
Month,Milk Production
1962-01-01 01:00:00,589.0
1962-02-01 01:00:00,561.0
1962-03-01 01:00:00,640.0
1962-04-01 01:00:00,656.0
1962-05-01 01:00:00,727.0
1962-06-01 01:00:00,697.0
1962-07-01 01:00:00,640.0
1962-08-01 01:00:00,599.0
1962-09-01 01:00:00,568.0
1962-10-01 01:00:00,577.0
1962-11-01 01:00:00,553.0
1962-12-01 01:00:00,582.0
1963-01-01 01:00:00,600.0
1963-02-01 01:00:00,566.0
1963-03-01 01:00:00,653.0
1963-04-01 01:00:00,673.0
1963-05-01 01:00:00,742.0
1963-06-01 01:00:00,716.0
1963-07-01 01:00:00,660.0
